"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 03 09:56:28 GMT 2024","Mon Jun 03 09:56:52 GMT 2024","23456","","uitests.SearchScreenTest","","uitests.SearchScreenTest","checkOpenApp","checkOpenApp()",""
"broken","Mon Jun 03 09:56:04 GMT 2024","Mon Jun 03 09:56:28 GMT 2024","24443","","uitests.MediaScreenTest","","uitests.MediaScreenTest","checkOpenApp","checkOpenApp()",""
"broken","Mon Jun 03 09:53:24 GMT 2024","Mon Jun 03 09:54:59 GMT 2024","95806","","uitests.IntroductionScreenTest","","uitests.IntroductionScreenTest","checkIntroductionPages","Проверка вступительных экранов",""
"broken","Mon Jun 03 09:55:26 GMT 2024","Mon Jun 03 09:56:04 GMT 2024","38270","","uitests.MainScreenTest","","uitests.MainScreenTest","checkDoSomething","checkDoSomething()",""
"broken","Mon Jun 03 09:55:00 GMT 2024","Mon Jun 03 09:55:26 GMT 2024","26104","","uitests.MainScreenTest","","uitests.MainScreenTest","Тестирование главной страницы","Тестирование главной страницы()",""
